timestamp,symbol,price,rsi,sma_7,sma_21,sma_50,sma_200,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,obv,vwap,recomendacion
2025-07-18T00:29:44.660348,ADAUSDT,0.8455,59.95,0.8178,0.8016,0.7734,0.7245,0.0158,0.0136,0.0022,0.841,0.804,0.7671,178943280.8,0.7367,Comprar
2025-07-18T00:29:51.023140,SUSDT,0.3781,35.49,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.3821,0.3694,30205262.4,0.3562,Vender
2025-07-18T00:29:51.059299,SHIBUSDT,1.449e-05,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649936570110.0,0.0,Comprar
2025-07-18T00:29:52.036083,SANDUSDT,0.3293,58.61,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.0009,0.3274,0.3195,0.3116,31213749.0,0.3053,Comprar
2025-07-18T00:29:57.084003,THETAUSDT,0.868,54.72,0.8544,0.8532,0.8458,0.8037,0.0045,0.0034,0.0011,0.8716,0.8541,0.8367,3948653.7,0.81,Comprar
2025-07-18T00:30:04.779461,SANDUSDT,0.3293,58.61,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.0009,0.3274,0.3195,0.3116,31220300.0,0.3053,Comprar
2025-07-18T00:30:05.590392,SHIBUSDT,1.447e-05,51.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564476900581.0,0.0,Comprar
2025-07-18T00:30:10.549294,BTCUSDT,119536.31,59.62,119532.7557,118839.2081,118678.3986,117386.7485,287.2905,199.0173,88.2732,120094.9516,118856.8985,117618.8454,23155.3462,117450.1219,Comprar
2025-07-18T00:30:12.766577,ETHUSDT,3480.82,54.83,3450.35,3431.64,3319.9566,3039.8155,39.6104,41.9477,-2.3373,3491.6153,3435.672,3379.7287,1135845.3521,3073.1001,Vender
2025-07-18T00:30:12.943620,THETAUSDT,0.868,54.72,0.8544,0.8532,0.8458,0.8037,0.0045,0.0034,0.0011,0.8716,0.8541,0.8367,3950890.8,0.81,Comprar
2025-07-18T00:30:14.719271,ADAUSDT,0.8416,58.69,0.8172,0.8015,0.7733,0.7245,0.0155,0.0135,0.002,0.84,0.8038,0.7677,179550748.3,0.7367,Comprar
2025-07-18T00:30:17.323683,DOTUSDT,4.286,56.04,4.2093,4.2048,4.1604,3.9712,0.023,0.0172,0.0057,4.2932,4.2078,4.1224,4929621.53,3.9875,Comprar
2025-07-18T00:30:20.758446,MANAUSDT,0.3302,61.41,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3138,14469306.0,0.3105,Comprar
2025-07-18T00:30:22.496583,SUSDT,0.3779,35.34,0.3763,0.3815,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.382,0.3694,30196306.0,0.3562,Vender
2025-07-18T00:30:24.115743,SANDUSDT,0.3295,58.8,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.001,0.3274,0.3195,0.3116,31239150.0,0.3053,Comprar
2025-07-18T00:30:28.209380,SANDUSDT,0.3294,58.71,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.0009,0.3274,0.3195,0.3116,31239167.0,0.3053,Comprar
2025-07-18T00:30:29.917180,SHIBUSDT,1.448e-05,51.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657603037122.0,0.0,Comprar
2025-07-18T00:30:35.260787,ADAUSDT,0.8444,59.6,0.8176,0.8016,0.7734,0.7245,0.0157,0.0136,0.0022,0.8407,0.804,0.7673,179726816.1,0.7367,Comprar
2025-07-18T00:30:36.704287,DOTUSDT,4.287,56.14,4.2094,4.2048,4.1605,3.9712,0.023,0.0173,0.0058,4.2935,4.2078,4.1222,4932480.55,3.9875,Comprar
2025-07-18T00:30:37.785305,MANAUSDT,0.3305,61.73,0.3239,0.3211,0.319,0.3099,0.0023,0.0013,0.001,0.3291,0.3214,0.3137,14481676.0,0.3105,Comprar
2025-07-18T00:30:40.749981,SUSDT,0.3784,35.71,0.3764,0.3816,0.3747,0.3539,0.0003,0.0015,-0.0012,0.3947,0.3821,0.3695,30173798.4,0.3562,Vender
2025-07-18T00:30:43.221760,THETAUSDT,0.868,54.72,0.8544,0.8532,0.8458,0.8037,0.0045,0.0034,0.0011,0.8716,0.8541,0.8367,3951170.1,0.81,Comprar
2025-07-18T00:30:44.892836,SANDUSDT,0.3297,58.98,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.001,0.3275,0.3195,0.3115,31244245.0,0.3053,Comprar
2025-07-18T00:30:45.705951,BTCUSDT,119527.99,59.56,119531.5671,118838.8119,118678.2322,117386.7069,286.6268,198.8845,87.7422,120093.6274,118856.4825,117619.3376,23157.1387,117450.1335,Comprar
2025-07-18T00:30:48.674539,ETHUSDT,3482.99,55.24,3450.66,3431.7433,3320.0,3039.8264,39.7835,41.9823,-2.1988,3492.081,3435.7805,3379.48,1135981.5716,3073.113,Vender
2025-07-18T00:30:51.600803,SHIBUSDT,1.45e-05,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658632719908.0,0.0,Comprar
2025-07-18T00:30:53.634599,ADAUSDT,0.8458,60.05,0.8178,0.8017,0.7734,0.7245,0.0158,0.0136,0.0023,0.8411,0.8041,0.767,179797181.4,0.7368,Comprar
2025-07-18T00:30:57.030572,DOTUSDT,4.29,56.43,4.2099,4.205,4.1605,3.9712,0.0233,0.0173,0.006,4.2942,4.208,4.1218,4935137.62,3.9875,Comprar
2025-07-18T00:30:58.734406,MANAUSDT,0.3309,62.13,0.324,0.3212,0.319,0.3099,0.0023,0.0013,0.001,0.3293,0.3215,0.3137,14484639.0,0.3105,Comprar
2025-07-18T00:31:02.223179,SUSDT,0.3793,36.4,0.3765,0.3816,0.3747,0.3539,0.0004,0.0015,-0.0011,0.3947,0.3821,0.3696,30134041.9,0.3562,Vender
2025-07-18T00:31:07.129775,THETAUSDT,0.869,55.14,0.8546,0.8533,0.8459,0.8037,0.0046,0.0034,0.0011,0.8718,0.8542,0.8366,3951229.4,0.81,Comprar
2025-07-18T00:31:07.249732,SANDUSDT,0.3297,58.98,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.001,0.3275,0.3195,0.3115,31308306.0,0.3054,Comprar
2025-07-18T00:31:07.250047,SHIBUSDT,1.45e-05,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659774219441.0,0.0,Comprar
2025-07-18T00:31:12.339382,BTCUSDT,119534.45,59.61,119532.49,118839.1195,118678.3614,117386.7391,287.1421,198.9876,88.1545,120094.6547,118856.8055,117618.9563,23158.9766,117450.164,Comprar
2025-07-18T00:31:19.809555,SUSDT,0.3794,36.48,0.3765,0.3816,0.3747,0.354,0.0004,0.0015,-0.0011,0.3947,0.3821,0.3696,30064165.1,0.3562,Vender
2025-07-18T00:31:20.049559,THETAUSDT,0.869,55.14,0.8546,0.8533,0.8459,0.8037,0.0046,0.0034,0.0011,0.8718,0.8542,0.8366,3953613.8,0.81,Comprar
2025-07-18T00:31:21.045803,SHIBUSDT,1.45e-05,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660528034231.0,0.0,Comprar
2025-07-18T00:31:24.115115,SANDUSDT,0.3297,58.98,0.3214,0.3192,0.3169,0.3,0.0023,0.0013,0.001,0.3275,0.3195,0.3115,31315002.0,0.3054,Comprar
2025-07-18T00:31:27.647351,BTCUSDT,119512.86,59.47,119529.4057,118838.0914,118677.9296,117386.6312,285.4198,198.6431,86.7767,120091.2449,118855.726,117620.2071,23160.3066,117450.1531,Comprar
2025-07-18T00:31:29.401185,ETHUSDT,3481.46,54.95,3450.4414,3431.6705,3319.9694,3039.8187,39.6615,41.9579,-2.2964,3491.7512,3435.704,3379.6568,1136392.8534,3073.1348,Vender
2025-07-18T00:31:31.485460,DOTUSDT,4.289,56.33,4.2097,4.2049,4.1605,3.9712,0.0232,0.0173,0.0059,4.2939,4.2079,4.122,4937584.36,3.9875,Comprar
2025-07-18T00:31:34.408736,ADAUSDT,0.8474,60.54,0.818,0.8017,0.7735,0.7245,0.016,0.0136,0.0024,0.8415,0.8041,0.7667,180295296.5,0.7368,Comprar
2025-07-18T00:31:37.955483,MANAUSDT,0.3309,62.13,0.324,0.3212,0.319,0.3099,0.0023,0.0013,0.001,0.3293,0.3215,0.3137,14489906.0,0.3105,Comprar
2025-07-18T00:31:54.596882,BTCUSDT,119540.0,59.64,119533.2829,118839.3838,118678.4724,117386.7669,287.5848,199.0761,88.5087,120095.5421,118857.083,117618.6239,23162.7809,117450.2175,Comprar
2025-07-18T00:31:54.597014,SANDUSDT,0.3299,59.16,0.3215,0.3192,0.3169,0.3,0.0023,0.0013,0.001,0.3276,0.3195,0.3115,31326639.0,0.3054,Comprar
2025-07-18T00:31:54.614293,DOTUSDT,4.295,56.9,4.2106,4.2052,4.1606,3.9712,0.0237,0.0174,0.0063,4.2954,4.2082,4.1211,4940110.03,3.9875,Comprar
2025-07-18T00:31:54.674951,ETHUSDT,3484.26,55.48,3450.8414,3431.8038,3320.0254,3039.8328,39.8848,42.0026,-2.1178,3492.3597,3435.844,3379.3283,1136519.8018,3073.1487,Vender
2025-07-18T00:31:58.798241,ADAUSDT,0.8468,60.36,0.8179,0.8017,0.7734,0.7245,0.0159,0.0136,0.0023,0.8414,0.8041,0.7668,180434831.9,0.7368,Comprar
2025-07-18T00:32:03.119897,THETAUSDT,0.871,55.96,0.8549,0.8534,0.8459,0.8037,0.0047,0.0035,0.0013,0.8723,0.8543,0.8363,3954382.5,0.81,Comprar
2025-07-18T00:32:05.318848,SHIBUSDT,1.454e-05,53.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662591191928.0,0.0,Comprar
2025-07-18T00:32:07.586967,SUSDT,0.3801,37.31,0.3766,0.3816,0.3747,0.354,0.0005,0.0015,-0.001,0.3947,0.3821,0.3696,33337026.0,0.3562,Vender
2025-07-18T00:32:07.595712,MANAUSDT,0.3312,62.43,0.324,0.3212,0.319,0.3099,0.0024,0.0013,0.0011,0.3294,0.3215,0.3136,14492078.0,0.3105,Comprar
